variable,n,mean,sd,median,min,max
blame_1,46,37.93478260869565,16.952747629039756,39.5,0,75
self_blame_c,46,-12.06521739130435,16.952747629039756,-10.5,-50,25
mutual_order_pref,46,9.630434782608695,14.205411638061157,6.5,-20,45
mutual_avg,46,12.66304347826087,10.729530562282607,14.5,-15,30
unilateral_avg,46,-12,10.171310414865705,-11.25,-30,15
feelings_neither,46,-14.5,11.064959707713957,-16.5,-30,20
feelings_youalone,46,-18.608695652173914,12.015690225459496,-20,-30,10
feelings_themalone,46,-5.391304347826088,16.724537211161817,-9,-30,30
feelings_youaloneforgiven,46,-14.26086956521739,15.625385019410913,-19.5,-30,22
feelings_bothyoufirst,46,7.847826086956521,14.290583366219167,10,-30,30
feelings_boththemfirst,46,17.47826086956522,11.265954869891623,20,-20,30
